idCarpeta;Delito;Categoria;FechaHecho;Año_hecho;Mes_hecho;Sexo;Edad;TipoPersona;CalidadJuridica;ClasificacionDelito;lon;lat;geopoint
8471856;VIOLACION;VIOLACIÓN;2019-07-10 14:00:00;2019;Julio;Femenino;39;FISICA;VICTIMA Y DENUNCIANTE;FUERO COMUN;-99.1359301006921;19.5202153018442;19.5202153018,-99.1359301007
8472069;VIOLACION;VIOLACIÓN;2019-06-11 21:00:00;2019;Junio;Femenino;19;FISICA;VICTIMA Y DENUNCIANTE;FUERO COMUN;-99.1713684808664;19.3286288018683;19.3286288019,-99.1713684809
8472069;VIOLACION;VIOLACIÓN;2019-06-11 21:00:00;2019;Junio;Femenino;18;FISICA;VICTIMA Y DENUNCIANTE;FUERO COMUN;-99.1713684808664;19.3286288018683;19.3286288019,-99.1713684809
8473695;VIOLACION;VIOLACIÓN;2019-07-12 03:40:00;2019;Julio;Femenino;20;FISICA;VICTIMA Y DENUNCIANTE;FUERO COMUN;NA;NA;
8473963;VIOLACION;VIOLACIÓN;2019-07-12 13:00:00;2019;Julio;Femenino;17;FISICA;VICTIMA;FUERO COMUN;-99.1393457002854;19.4331578021595;19.4331578022,-99.1393457003
8351555;VIOLACION;VIOLACIÓN;2019-02-07 22:00:00;2019;Febrero;Femenino;38;FISICA;VICTIMA Y DENUNCIANTE;FUERO COMUN;-99.0379330351069;19.2567875297975;19.2567875298,-99.0379330351
8351896;VIOLACION;VIOLACIÓN;2019-01-12 12:00:00;2019;Enero;Femenino;17;FISICA;VICTIMA;FUERO COMUN;NA;NA;
8352462;VIOLACION;VIOLACIÓN;2019-02-08 20:30:00;2019;Febrero;Masculino;19;FISICA;VICTIMA Y DENUNCIANTE;FUERO COMUN;-99.1110307998527;19.2415683985119;19.2415683985,-99.1110307999
8353027;VIOLACION;VIOLACIÓN;2019-02-09 18:45:00;2019;Febrero;Femenino;19;FISICA;VICTIMA Y DENUNCIANTE;FUERO COMUN;-99.1885612011882;19.4788844002822;19.4788844003,-99.1885612012
8353113;VIOLACION;VIOLACIÓN;2019-02-08 21:30:00;2019;Febrero;Femenino;25;FISICA;VICTIMA Y DENUNCIANTE;FUERO COMUN;-99.0596681999864;19.2803242965475;19.2803242965,-99.0596682
8353375;VIOLACION;VIOLACIÓN;2019-02-10 03:00:00;2019;Febrero;Femenino;20;FISICA;VICTIMA;FUERO COMUN;-99.1261667006958;19.3553482037966;19.3553482038,-99.1261667007
8354356;VIOLACION;VIOLACIÓN;2019-02-11 18:30:00;2019;Febrero;Femenino;15;FISICA;VICTIMA;FUERO COMUN;-99.2479520033872;19.3632469379824;19.363246938,-99.2479520034
8354464;VIOLACION;VIOLACIÓN;2019-02-10 04:00:00;2019;Febrero;Femenino;22;FISICA;VICTIMA Y DENUNCIANTE;FUERO COMUN;-99.1653058006713;19.4247521039147;19.4247521039,-99.1653058007
8356860;VIOLACION;VIOLACIÓN;2019-02-12 13:30:00;2019;Febrero;Femenino;23;FISICA;VICTIMA Y DENUNCIANTE;FUERO COMUN;-99.2258768132594;19.3478027522883;19.3478027523,-99.2258768133
8357477;VIOLACION;VIOLACIÓN;2018-08-17 20:00:00;2018;Agosto;Femenino;11;FISICA;VICTIMA;FUERO COMUN;-99.0405764243219;19.325402242352;19.3254022424,-99.0405764243
8357719;VIOLACION;VIOLACIÓN;2012-08-28 13:00:00;2012;Agosto;Femenino;12;FISICA;VICTIMA;FUERO COMUN;-99.077611300249;19.2456251018222;19.2456251018,-99.0776113002
8358146;VIOLACION;VIOLACIÓN;2019-02-15 18:00:00;2019;Febrero;Femenino;15;FISICA;VICTIMA;FUERO COMUN;NA;NA;
8358370;VIOLACION;VIOLACIÓN;2019-02-13 00:00:00;2019;Febrero;Femenino;21;FISICA;VICTIMA Y DENUNCIANTE;FUERO COMUN;NA;NA;
